#PHOTRON WAVE DATA
#SheetType,,A
#Date,,2021/3/25
#Time,,22:30:0
#CameraType,,FASTCAM SA-X type 324K-M1
#CameraID,,15
#AnalogBoardType,,CONTEC AIO-163202FX-USB,
#AnalogBoardID,,00
#FrameRate(fps),,125
#SaveStep,,1
#ShutterSpeed(sec),,1/1000
#ImageWidth,,256
#ImageHeight,,1024
#TriggerMode,,End
#NumberOfFrames,,17391
#FrameRange,,-17390 to 0
#UseZeroFrame,,1
#SamplingRate(sps),,125.000000
#Sampling/Frame,,1
#NumberOfDatas,,17391
#Sloap,,,1.000000,1.000000
#Intercept,,,0.000000,0.000000

DataNo,FrameNo,SampleNo,Ch0,Ch1
148,-17242,0,-0.076294,-0.017700
149,-17241,0,0.037537,-0.005188
150,-17240,0,-0.032959,-0.013733
151,-17239,0,-0.013733,-0.013733
152,-17238,0,0.010376,-0.010376
153,-17237,0,0.017700,0.005188
154,-17236,0,-0.003357,-0.004883
155,-17235,0,-0.014038,-0.026855
156,-17234,0,0.020752,0.007019
157,-17233,0,-0.034180,-0.008545
158,-17232,0,-0.017090,-0.013733
159,-17231,0,-0.005188,-0.024109
160,-17230,0,-0.030518,-0.014648
161,-17229,0,0.011292,-0.005798
162,-17228,0,-0.066223,-0.017700
163,-17227,0,-0.069275,-0.018005
164,-17226,0,-0.081177,-0.018311
165,-17225,0,-0.025330,-0.017090
166,-17224,0,0.057373,-0.009155
167,-17223,0,0.008545,-0.014954
168,-17222,0,0.055847,-0.006104
169,-17221,0,0.000610,0.016785
170,-17220,0,0.010986,-0.023804
171,-17219,0,0.054321,-0.011902
172,-17218,0,-0.005798,-0.007935
173,-17217,0,0.030212,-0.007019
174,-17216,0,-0.072021,-0.017700
175,-17215,0,-0.036011,0.000000
176,-17214,0,0.087280,-0.010681
177,-17213,0,-0.003662,-0.018616
178,-17212,0,0.013428,-0.000305
179,-17211,0,0.078430,-0.011902
180,-17210,0,0.054626,-0.018616
181,-17209,0,0.040894,-0.009766
182,-17208,0,0.030518,0.005798
183,-17207,0,0.057983,0.008850
184,-17206,0,-0.060120,-0.004883
185,-17205,0,0.012207,-0.003357
186,-17204,0,-0.014038,-0.016479
187,-17203,0,0.000916,-0.034790
188,-17202,0,-0.028992,-0.006104
189,-17201,0,-0.060425,-0.019836
190,-17200,0,-0.007019,-0.012207
191,-17199,0,0.018005,-0.001526
192,-17198,0,-0.014038,-0.014038
193,-17197,0,0.062256,-0.007324
194,-17196,0,-0.028687,-0.014343
195,-17195,0,0.004272,-0.029907
196,-17194,0,0.000000,-0.026855
197,-17193,0,0.036316,-0.009460
198,-17192,0,0.079041,-0.003357
199,-17191,0,0.043030,-0.003967
200,-17190,0,0.119324,0.001526
201,-17189,0,0.105591,-0.003967
202,-17188,0,-0.041504,-0.034790
203,-17187,0,-0.063171,-0.017090
204,-17186,0,0.004578,0.007324
205,-17185,0,0.033875,-0.036316
206,-17184,0,0.010376,0.010071
207,-17183,0,0.024414,0.000916
208,-17182,0,-0.009460,-0.006714
209,-17181,0,0.050659,0.001221
210,-17180,0,-0.056763,-0.011292
211,-17179,0,-0.052795,-0.011292
212,-17178,0,-0.021667,-0.007324
213,-17177,0,-0.017090,-0.028076
214,-17176,0,0.010986,0.018921
215,-17175,0,0.034485,-0.015869
216,-17174,0,-0.004578,-0.004272
217,-17173,0,0.039978,0.000610
218,-17172,0,0.057068,0.001221
219,-17171,0,-0.037537,-0.038147
220,-17170,0,-0.023193,-0.013733
221,-17169,0,-0.008850,-0.006104
222,-17168,0,0.015869,-0.004578
223,-17167,0,-0.052490,-0.016174
224,-17166,0,0.015869,-0.037537
225,-17165,0,-0.029297,-0.015564
226,-17164,0,-0.019531,-0.015259
227,-17163,0,-0.042114,-0.022278
228,-17162,0,-0.054321,-0.008240
229,-17161,0,0.041199,-0.004883
230,-17160,0,-0.006409,-0.010376
231,-17159,0,0.052185,-0.005493
232,-17158,0,-0.028992,-0.014954
233,-17157,0,0.086975,-0.004578
234,-17156,0,0.034485,0.013428
235,-17155,0,0.006409,-0.019531
236,-17154,0,-0.040588,-0.000610
237,-17153,0,-0.004578,-0.025940
238,-17152,0,-0.028076,-0.018921
239,-17151,0,0.000305,-0.004272
240,-17150,0,-0.025635,-0.013733
241,-17149,0,0.021057,-0.006714
242,-17148,0,0.094299,0.003967
243,-17147,0,0.025330,-0.014954
244,-17146,0,-0.033569,-0.016479
245,-17145,0,0.071716,-0.004272
246,-17144,0,-0.011597,-0.010681
247,-17143,0,-0.003662,-0.024719
248,-17142,0,0.028381,-0.009155
249,-17141,0,0.104370,0.001526
250,-17140,0,-0.003967,0.004272
251,-17139,0,0.041504,-0.012512
252,-17138,0,0.009460,-0.018311
253,-17137,0,0.007935,-0.013428
254,-17136,0,0.018311,0.006714
255,-17135,0,0.004883,-0.025940
256,-17134,0,-0.017090,-0.013123
257,-17133,0,-0.033569,-0.021973
258,-17132,0,0.012512,-0.018921
259,-17131,0,0.027161,-0.022278
260,-17130,0,-0.036011,-0.026245
261,-17129,0,0.000000,-0.001221
262,-17128,0,0.013733,-0.008545
263,-17127,0,0.084839,-0.013123
264,-17126,0,-0.000916,0.008240
265,-17125,0,-0.018311,-0.017395
266,-17124,0,-0.039368,-0.022278
267,-17123,0,0.005798,-0.006409
268,-17122,0,0.007324,0.000610
269,-17121,0,0.044556,-0.002441
270,-17120,0,0.010986,-0.007629
271,-17119,0,0.028381,0.006714
272,-17118,0,-0.027771,-0.024109
273,-17117,0,0.000305,-0.028687
274,-17116,0,-0.013123,-0.029602
275,-17115,0,-0.019226,-0.025330
276,-17114,0,-0.004578,-0.014038
277,-17113,0,-0.040894,-0.011292
278,-17112,0,0.043335,-0.007019
279,-17111,0,0.022278,-0.020142
280,-17110,0,0.016785,0.014343
281,-17109,0,-0.012512,-0.030518
282,-17108,0,-0.049438,-0.013123
283,-17107,0,0.022888,-0.003357
284,-17106,0,-0.026550,-0.004883
285,-17105,0,-0.050354,-0.009766
286,-17104,0,0.017395,-0.020142
287,-17103,0,0.093994,0.001221
288,-17102,0,-0.034485,-0.027161
289,-17101,0,-0.069275,-0.014343
290,-17100,0,0.012817,-0.006409
291,-17099,0,0.050659,-0.005188
292,-17098,0,0.048523,-0.005798
293,-17097,0,0.046997,-0.005493
294,-17096,0,0.059509,-0.006104
295,-17095,0,0.042114,-0.010376
296,-17094,0,0.026855,-0.028381
297,-17093,0,0.027161,-0.010071
298,-17092,0,0.046387,-0.007019
299,-17091,0,-0.018311,-0.014343
300,-17090,0,-0.050964,-0.015259
301,-17089,0,0.007935,0.005493
302,-17088,0,-0.021973,0.001526
303,-17087,0,-0.007935,0.007324
304,-17086,0,0.046082,-0.012512
305,-17085,0,0.025635,-0.014038
306,-17084,0,0.056458,-0.004883
307,-17083,0,0.026855,-0.003662
308,-17082,0,-0.056458,-0.016479
309,-17081,0,-0.018005,-0.027161
310,-17080,0,-0.006714,0.010376
311,-17079,0,-0.007324,-0.012207
312,-17078,0,0.028992,-0.017090
313,-17077,0,0.032349,-0.001221
314,-17076,0,-0.012207,-0.025940
315,-17075,0,-0.044250,-0.002136
316,-17074,0,-0.007935,-0.029602
317,-17073,0,0.068665,-0.007324
318,-17072,0,0.003357,-0.014038
319,-17071,0,0.054626,-0.006714
320,-17070,0,0.002747,-0.002747
321,-17069,0,0.012207,-0.013428
322,-17068,0,-0.008240,-0.011597
323,-17067,0,-0.003662,-0.026245
324,-17066,0,-0.004578,-0.012207
325,-17065,0,0.028076,-0.016479
326,-17064,0,-0.083313,-0.012207
327,-17063,0,-0.059509,-0.010986
328,-17062,0,-0.046387,-0.010986
329,-17061,0,0.031128,-0.023499
330,-17060,0,0.017395,-0.016479
331,-17059,0,0.042114,-0.008545
332,-17058,0,-0.012817,-0.034790
333,-17057,0,-0.015564,-0.021362
334,-17056,0,0.017395,0.010376
335,-17055,0,0.003967,-0.009766
336,-17054,0,0.006714,0.000000
337,-17053,0,0.017090,-0.021362
338,-17052,0,-0.006714,-0.018921
339,-17051,0,-0.067139,-0.018921
340,-17050,0,0.005798,0.008850
341,-17049,0,-0.001831,-0.028076
342,-17048,0,0.018616,-0.011292
343,-17047,0,0.000305,-0.005188
344,-17046,0,-0.004883,-0.017395
345,-17045,0,0.003967,-0.005798
346,-17044,0,-0.009766,-0.037231
347,-17043,0,0.060730,-0.003052
348,-17042,0,0.034790,-0.010376
349,-17041,0,0.049438,-0.007935
350,-17040,0,0.008545,-0.014954
351,-17039,0,0.087585,0.001526
352,-17038,0,-0.039978,-0.024109
353,-17037,0,0.007935,-0.017090
354,-17036,0,-0.037537,-0.029297
355,-17035,0,0.033569,-0.007629
356,-17034,0,0.003662,-0.013123
357,-17033,0,0.036926,-0.006104
358,-17032,0,0.083618,-0.017395
359,-17031,0,0.069885,-0.022583
360,-17030,0,-0.012512,-0.008240
361,-17029,0,-0.009766,-0.003357
362,-17028,0,0.043945,-0.010071
363,-17027,0,-0.010986,-0.018005
364,-17026,0,0.076904,-0.005188
365,-17025,0,0.098572,-0.005798
366,-17024,0,0.031433,-0.011292
367,-17023,0,0.052490,-0.009766
368,-17022,0,-0.013123,-0.023193
369,-17021,0,0.072327,-0.007629
370,-17020,0,0.027771,-0.011292
371,-17019,0,0.119324,-0.003052
372,-17018,0,0.026855,-0.005188
373,-17017,0,0.062561,-0.001526
374,-17016,0,0.056763,-0.010986
375,-17015,0,-0.042725,-0.018005
376,-17014,0,0.037231,-0.014954
377,-17013,0,0.052185,-0.002747
378,-17012,0,0.047913,-0.024109
379,-17011,0,0.061035,-0.012512
380,-17010,0,0.053406,-0.000610
381,-17009,0,-0.065918,-0.019836
382,-17008,0,0.008545,0.010681
383,-17007,0,0.093994,-0.005493
384,-17006,0,-0.004883,-0.030518
385,-17005,0,0.020142,-0.007324
386,-17004,0,0.012207,-0.000305
387,-17003,0,0.061340,-0.031738
388,-17002,0,0.032959,-0.013428
389,-17001,0,0.065918,0.001221
390,-17000,0,0.014648,-0.014038
391,-16999,0,0.050659,-0.015259
392,-16998,0,0.043030,-0.027161
393,-16997,0,0.020142,-0.013428
394,-16996,0,0.048218,-0.008850
395,-16995,0,0.067444,-0.015869
396,-16994,0,0.056152,0.012207
397,-16993,0,0.020447,-0.012207
398,-16992,0,0.078735,-0.007935
399,-16991,0,0.036926,-0.019531
400,-16990,0,0.026245,-0.012817
401,-16989,0,0.054932,-0.005188
402,-16988,0,0.032959,-0.016785
403,-16987,0,0.015259,0.002747
404,-16986,0,0.011292,-0.020142
405,-16985,0,0.082397,-0.009155
406,-16984,0,0.008240,-0.018921
407,-16983,0,0.039978,-0.007324
408,-16982,0,0.041199,-0.023499
409,-16981,0,0.021973,-0.039063
410,-16980,0,0.038757,-0.019836
411,-16979,0,0.046997,0.007324
412,-16978,0,0.074768,-0.023193
413,-16977,0,-0.006714,-0.019531
414,-16976,0,0.053101,-0.023193
415,-16975,0,0.085144,0.012207
416,-16974,0,0.090942,-0.008240
417,-16973,0,0.088501,-0.003357
418,-16972,0,0.060425,0.007019
419,-16971,0,0.066833,-0.018921
420,-16970,0,-0.007324,-0.016174
421,-16969,0,0.086365,0.004272
422,-16968,0,0.071716,-0.024719
423,-16967,0,0.077209,-0.014648
424,-16966,0,0.058594,0.024719
425,-16965,0,0.072937,-0.011902
426,-16964,0,0.049438,-0.018005
427,-16963,0,0.052185,-0.021362
428,-16962,0,0.098572,-0.003967
429,-16961,0,0.068359,0.012207
430,-16960,0,0.052185,-0.005798
431,-16959,0,0.033569,-0.001221
432,-16958,0,0.097046,0.011902
433,-16957,0,0.017700,-0.018921
434,-16956,0,0.073547,0.003052
435,-16955,0,0.049744,-0.025635
436,-16954,0,0.051575,-0.012512
437,-16953,0,0.072632,0.001831
438,-16952,0,0.095520,-0.004272
439,-16951,0,0.042114,-0.017090
440,-16950,0,0.014954,-0.016479
441,-16949,0,0.081177,-0.018005
442,-16948,0,0.159607,-0.002441
443,-16947,0,0.099487,0.003357
444,-16946,0,0.087891,0.001526
445,-16945,0,0.071411,-0.008545
446,-16944,0,0.096436,0.007019
447,-16943,0,0.080566,-0.008545
448,-16942,0,0.087891,-0.008850
449,-16941,0,0.104675,-0.038757
450,-16940,0,0.065002,-0.012207
451,-16939,0,0.074768,-0.018311
452,-16938,0,0.066833,-0.014954
453,-16937,0,0.109558,0.009766
454,-16936,0,0.080566,-0.015564
455,-16935,0,0.097656,-0.005493
456,-16934,0,0.104980,-0.006409
457,-16933,0,0.089417,-0.008240
458,-16932,0,0.099792,0.007935
459,-16931,0,0.187378,0.001526
460,-16930,0,0.084229,-0.023499
461,-16929,0,0.179443,0.002441
462,-16928,0,0.118408,-0.009460
463,-16927,0,0.114746,0.007324
464,-16926,0,0.023804,-0.024719
465,-16925,0,0.079956,-0.012512
466,-16924,0,0.132751,-0.007935
467,-16923,0,0.192871,0.000916
468,-16922,0,0.093384,-0.008240
469,-16921,0,0.193787,0.000000
470,-16920,0,0.139771,0.003662
471,-16919,0,0.053406,-0.014343
472,-16918,0,0.017090,-0.013428
473,-16917,0,0.170288,-0.004272
474,-16916,0,0.048523,-0.021667
475,-16915,0,0.149841,0.005493
476,-16914,0,0.112915,0.011292
477,-16913,0,0.154724,-0.006714
478,-16912,0,0.071411,-0.031128
479,-16911,0,0.127869,-0.016479
480,-16910,0,0.172729,0.003052
481,-16909,0,0.142212,-0.004578
482,-16908,0,0.101929,-0.021362
483,-16907,0,0.155640,0.003357
484,-16906,0,0.159607,-0.000305
485,-16905,0,0.150146,0.002747
486,-16904,0,0.128174,0.002136
487,-16903,0,0.158386,0.010986
488,-16902,0,0.129700,-0.002441
