(sec),(mm),(kgf)
20.3,1.35337,2.16436
20.4,1.35996,2.152
20.5,1.36661,2.16335
20.6,1.3733,2.15585
20.7,1.38,2.19271
20.8,1.3867,2.18819
20.9,1.39334,2.17707
21,1.39993,2.18051
21.1,1.40678,2.18745
21.2,1.41332,2.21025
21.3,1.41986,2.20225
21.4,1.42671,2.21074
21.5,1.4333,2.22298
21.6,1.43995,2.23836
21.7,1.4468,2.24475
21.8,1.45328,2.23926
21.9,1.45998,2.24662
22,1.46678,2.24153
22.1,1.47327,2.22846
22.2,1.47991,2.24573
22.3,1.48677,2.26549
22.4,1.49341,2.27255
22.5,1.49995,2.26073
22.6,1.5067,2.24823
22.7,1.51339,2.28635
22.8,1.51998,2.29074
22.9,1.52662,2.27548
23,1.53327,2.29311
23.1,1.54007,2.2994
23.2,1.54666,2.3104
23.3,1.5533,2.30257
23.4,1.56005,2.31414
23.5,1.56664,2.32601
23.6,1.57323,2.29554
23.7,1.58003,2.31641
23.8,1.58662,2.33352
23.9,1.59327,2.33923
24,1.60012,2.36272
24.1,1.60661,2.32701
24.2,1.61325,2.3475
24.3,1.62011,2.35191
24.4,1.62664,2.36287
24.5,1.63323,2.3587
24.6,1.64003,2.35609
24.7,1.64668,2.36719
24.8,1.65327,2.35863
24.9,1.66007,2.35766
25,1.66666,2.38817
25.1,1.67336,2.37455
25.2,1.68005,2.40784
25.3,1.68664,2.38114
25.4,1.69334,2.40668
25.5,1.69998,2.41195
25.6,1.70662,2.39588
25.7,1.71337,2.40343
25.8,1.71996,2.41784
25.9,1.72671,2.41874
26,1.73346,2.44353
26.1,1.73995,2.42353
26.2,1.74653,2.44312
26.3,1.75345,2.45384
26.4,1.75998,2.43772
26.5,1.76662,2.43963
26.6,1.77343,2.44614
26.7,1.78002,2.44914
26.8,1.78661,2.45882
26.9,1.79336,2.46128
27,1.8,2.46979
27.1,1.80664,2.46293
27.2,1.81345,2.48562
27.3,1.82003,2.48582
27.4,1.82657,2.48182
27.5,1.83343,2.50823
27.6,1.83996,2.4918
27.7,1.84661,2.48037
27.8,1.85336,2.50567
27.9,1.86,2.52399
28,1.8667,2.5137
28.1,1.87334,2.51855
28.2,1.87993,2.50725
28.3,1.88673,2.54359
28.4,1.89332,2.54429
28.5,1.89996,2.50857
28.6,1.90671,2.51984
28.7,1.9133,2.53433
28.8,1.91989,2.52957
28.9,1.92675,2.53175
29,1.93328,2.5454
29.1,1.93998,2.55322
29.2,1.94678,2.55405
29.3,1.95332,2.55194
29.4,1.95991,2.56794
29.5,1.96671,2.57842
29.6,1.97336,2.57357
29.7,1.97995,2.59072
29.8,1.98675,2.58409
29.9,1.99339,2.58576
30,1.99998,2.59692
30.1,2.00668,2.58545
30.2,2.01327,2.60301
30.3,2.01996,2.58739
30.4,2.02671,2.59345
30.5,2.03336,2.61136
30.6,2.04,2.61565
30.7,2.0467,2.62467
30.8,2.05328,2.63068
30.9,2.06003,2.61254
31,2.06657,2.63848
31.1,2.07327,2.63007
31.2,2.08012,2.62348
31.3,2.08661,2.62626
31.4,2.09325,2.6554
31.5,2.10011,2.65921
31.6,2.10659,2.66971
31.7,2.11328,2.64564
31.8,2.12009,2.65564
31.9,2.12662,2.68103
32,2.13327,2.6577
32.1,2.14012,2.67069
